2026-04-24 12:27:45 INFO     Starting simulation...
2026-04-24 12:27:55 WARNING  136 points with problematic saturation / inverse linearity values!
2026-04-24 12:28:01 INFO     Simulating filter F158...
2026-04-24 12:28:02 INFO     Creating PSF using stpsf
2026-04-24 12:28:03 INFO     Using pupil mask 'F062' and detector 'WFI01'.
2026-04-24 12:28:03 INFO     Using pupil mask 'F062' and detector 'WFI15'.
2026-04-24 12:28:03 INFO     Using pupil mask 'F158' and detector 'WFI15'.
2026-04-24 12:28:03 INFO     No source spectrum supplied, therefore defaulting to 5700 K blackbody
2026-04-24 12:28:03 INFO     Computing wavelength weights using synthetic photometry for F158...
2026-04-24 12:28:04 INFO     Using pupil mask 'F158' and detector 'WFI15'.
2026-04-24 12:28:04 INFO     PSF calc using fov_arcsec = 5.000000, oversample = 4, number of wavelengths = 10
2026-04-24 12:28:04 INFO     Creating optical system model:
2026-04-24 12:28:04 INFO     Initialized OpticalSystem: Roman+WFI
2026-04-24 12:28:04 INFO     Roman Entrance Pupil: Loaded amplitude transmission from /home/np274/roman_l2_job/stpsf-data/WFI/pupils/RST_WIM_Filter_F158_WFI15.fits.gz
2026-04-24 12:28:04 INFO     Roman Entrance Pupil: Loaded OPD from /home/np274/roman_l2_job/stpsf-data/upscaled_HST_OPD.fits
2026-04-24 12:28:04 INFO     Added pupil plane: Roman Entrance Pupil
2026-04-24 12:28:04 INFO     Added coordinate inversion plane: OTE exit pupil
2026-04-24 12:28:04 INFO     Added pupil plane: Field Dependent Aberration (WFI15)
2026-04-24 12:28:04 INFO     Added detector with pixelscale=0.1078577405 and oversampling=4: WFI detector
2026-04-24 12:28:04 INFO     Calculating PSF with 10 wavelengths
2026-04-24 12:28:04 INFO      Propagating wavelength = 1.3983e-06 m
2026-04-24 12:28:17 INFO      Propagating wavelength = 1.4389e-06 m
2026-04-24 12:28:18 INFO      Propagating wavelength = 1.4795e-06 m
2026-04-24 12:28:20 INFO      Propagating wavelength = 1.5201e-06 m
2026-04-24 12:28:21 INFO      Propagating wavelength = 1.5607e-06 m
2026-04-24 12:28:23 INFO      Propagating wavelength = 1.6013e-06 m
2026-04-24 12:28:24 INFO      Propagating wavelength = 1.6419e-06 m
2026-04-24 12:28:25 INFO      Propagating wavelength = 1.6825e-06 m
2026-04-24 12:28:27 INFO      Propagating wavelength = 1.7231e-06 m
2026-04-24 12:28:28 INFO      Propagating wavelength = 1.7637e-06 m
2026-04-24 12:28:30 INFO       Calculation completed in 25.893 s
2026-04-24 12:28:30 INFO     PSF Calculation completed.
2026-04-24 12:28:30 INFO     Calculating jitter using gaussian
2026-04-24 12:28:30 INFO     Jitter: Convolving with Gaussian with sigma=0.012 arcsec
2026-04-24 12:28:30 INFO             resulting image peak drops to 0.973 of its previous value
2026-04-24 12:28:30 INFO     Detector charge diffusion not applied because charge_diffusion_sigma option is 0
2026-04-24 12:28:30 INFO      Adding extension with image downsampled to detector pixel scale.
2026-04-24 12:28:30 INFO      Downsampling to detector pixel scale, by 4
2026-04-24 12:28:30 INFO      Downsampling to detector pixel scale, by 4
2026-04-24 12:28:30 INFO     Creating PSF using stpsf
2026-04-24 12:28:30 INFO     Using pupil mask 'F062' and detector 'WFI01'.
2026-04-24 12:28:30 INFO     Using pupil mask 'F062' and detector 'WFI15'.
2026-04-24 12:28:30 INFO     Using pupil mask 'F158' and detector 'WFI15'.
2026-04-24 12:28:30 INFO     No source spectrum supplied, therefore defaulting to 5700 K blackbody
2026-04-24 12:28:30 INFO     Computing wavelength weights using synthetic photometry for F158...
2026-04-24 12:28:31 INFO     Using pupil mask 'F158' and detector 'WFI15'.
2026-04-24 12:28:31 INFO     PSF calc using fov_arcsec = 5.000000, oversample = 4, number of wavelengths = 10
2026-04-24 12:28:31 INFO     Creating optical system model:
2026-04-24 12:28:31 INFO     Initialized OpticalSystem: Roman+WFI
2026-04-24 12:28:31 INFO     Roman Entrance Pupil: Loaded amplitude transmission from /home/np274/roman_l2_job/stpsf-data/WFI/pupils/RST_WIM_Filter_F158_WFI15.fits.gz
2026-04-24 12:28:31 INFO     Roman Entrance Pupil: Loaded OPD from /home/np274/roman_l2_job/stpsf-data/upscaled_HST_OPD.fits
2026-04-24 12:28:31 INFO     Added pupil plane: Roman Entrance Pupil
2026-04-24 12:28:31 INFO     Added coordinate inversion plane: OTE exit pupil
2026-04-24 12:28:31 INFO     Added pupil plane: Field Dependent Aberration (WFI15)
2026-04-24 12:28:31 INFO     Added detector with pixelscale=0.1078577405 and oversampling=4: WFI detector
2026-04-24 12:28:31 INFO     Calculating PSF with 10 wavelengths
2026-04-24 12:28:31 INFO      Propagating wavelength = 1.3983e-06 m
2026-04-24 12:28:32 INFO      Propagating wavelength = 1.4389e-06 m
2026-04-24 12:28:34 INFO      Propagating wavelength = 1.4795e-06 m
2026-04-24 12:28:35 INFO      Propagating wavelength = 1.5201e-06 m
2026-04-24 12:28:37 INFO      Propagating wavelength = 1.5607e-06 m
2026-04-24 12:28:38 INFO      Propagating wavelength = 1.6013e-06 m
2026-04-24 12:28:40 INFO      Propagating wavelength = 1.6419e-06 m
2026-04-24 12:28:41 INFO      Propagating wavelength = 1.6825e-06 m
2026-04-24 12:28:43 INFO      Propagating wavelength = 1.7231e-06 m
2026-04-24 12:28:44 INFO      Propagating wavelength = 1.7637e-06 m
2026-04-24 12:28:46 INFO       Calculation completed in 15.028 s
2026-04-24 12:28:46 INFO     PSF Calculation completed.
2026-04-24 12:28:46 INFO     Calculating jitter using gaussian
2026-04-24 12:28:46 INFO     Jitter: Convolving with Gaussian with sigma=0.012 arcsec
2026-04-24 12:28:46 INFO             resulting image peak drops to 0.973 of its previous value
2026-04-24 12:28:46 INFO     Detector charge diffusion not applied because charge_diffusion_sigma option is 0
2026-04-24 12:28:46 INFO      Adding extension with image downsampled to detector pixel scale.
2026-04-24 12:28:46 INFO      Downsampling to detector pixel scale, by 4
