2026-04-24 13:51:33 INFO     Starting simulation...
2026-04-24 13:51:42 WARNING  64 points with problematic saturation / inverse linearity values!
2026-04-24 13:51:46 INFO     Simulating filter F158...
2026-04-24 13:51:46 INFO     Creating PSF using stpsf
2026-04-24 13:51:48 INFO     Using pupil mask 'F062' and detector 'WFI01'.
2026-04-24 13:51:48 INFO     Using pupil mask 'F062' and detector 'WFI12'.
2026-04-24 13:51:48 INFO     Using pupil mask 'F158' and detector 'WFI12'.
2026-04-24 13:51:48 INFO     No source spectrum supplied, therefore defaulting to 5700 K blackbody
2026-04-24 13:51:48 INFO     Computing wavelength weights using synthetic photometry for F158...
2026-04-24 13:51:48 INFO     Using pupil mask 'F158' and detector 'WFI12'.
2026-04-24 13:51:48 INFO     PSF calc using fov_arcsec = 5.000000, oversample = 4, number of wavelengths = 10
2026-04-24 13:51:48 INFO     Creating optical system model:
2026-04-24 13:51:48 INFO     Initialized OpticalSystem: Roman+WFI
2026-04-24 13:51:48 INFO     Roman Entrance Pupil: Loaded amplitude transmission from /home/np274/roman_l2_job/stpsf-data/WFI/pupils/RST_WIM_Filter_F158_WFI12.fits.gz
2026-04-24 13:51:48 INFO     Roman Entrance Pupil: Loaded OPD from /home/np274/roman_l2_job/stpsf-data/upscaled_HST_OPD.fits
2026-04-24 13:51:48 INFO     Added pupil plane: Roman Entrance Pupil
2026-04-24 13:51:48 INFO     Added coordinate inversion plane: OTE exit pupil
2026-04-24 13:51:48 INFO     Added pupil plane: Field Dependent Aberration (WFI12)
2026-04-24 13:51:48 INFO     Added detector with pixelscale=0.1078577405 and oversampling=4: WFI detector
2026-04-24 13:51:48 INFO     Calculating PSF with 10 wavelengths
2026-04-24 13:51:48 INFO      Propagating wavelength = 1.4003e-06 m
2026-04-24 13:52:01 INFO      Propagating wavelength = 1.4409e-06 m
2026-04-24 13:52:03 INFO      Propagating wavelength = 1.4815e-06 m
2026-04-24 13:52:04 INFO      Propagating wavelength = 1.5221e-06 m
2026-04-24 13:52:05 INFO      Propagating wavelength = 1.5627e-06 m
2026-04-24 13:52:07 INFO      Propagating wavelength = 1.6033e-06 m
2026-04-24 13:52:08 INFO      Propagating wavelength = 1.6439e-06 m
2026-04-24 13:52:10 INFO      Propagating wavelength = 1.6845e-06 m
2026-04-24 13:52:11 INFO      Propagating wavelength = 1.7251e-06 m
2026-04-24 13:52:13 INFO      Propagating wavelength = 1.7657e-06 m
2026-04-24 13:52:14 INFO       Calculation completed in 25.935 s
2026-04-24 13:52:14 INFO     PSF Calculation completed.
2026-04-24 13:52:14 INFO     Calculating jitter using gaussian
2026-04-24 13:52:14 INFO     Jitter: Convolving with Gaussian with sigma=0.012 arcsec
2026-04-24 13:52:14 INFO             resulting image peak drops to 0.973 of its previous value
2026-04-24 13:52:14 INFO     Detector charge diffusion not applied because charge_diffusion_sigma option is 0
2026-04-24 13:52:14 INFO      Adding extension with image downsampled to detector pixel scale.
2026-04-24 13:52:14 INFO      Downsampling to detector pixel scale, by 4
2026-04-24 13:52:14 INFO      Downsampling to detector pixel scale, by 4
2026-04-24 13:52:14 INFO     Creating PSF using stpsf
2026-04-24 13:52:14 INFO     Using pupil mask 'F062' and detector 'WFI01'.
2026-04-24 13:52:14 INFO     Using pupil mask 'F062' and detector 'WFI12'.
2026-04-24 13:52:15 INFO     Using pupil mask 'F158' and detector 'WFI12'.
2026-04-24 13:52:15 INFO     No source spectrum supplied, therefore defaulting to 5700 K blackbody
2026-04-24 13:52:15 INFO     Computing wavelength weights using synthetic photometry for F158...
2026-04-24 13:52:15 INFO     Using pupil mask 'F158' and detector 'WFI12'.
2026-04-24 13:52:15 INFO     PSF calc using fov_arcsec = 5.000000, oversample = 4, number of wavelengths = 10
2026-04-24 13:52:15 INFO     Creating optical system model:
2026-04-24 13:52:15 INFO     Initialized OpticalSystem: Roman+WFI
