2026-04-24 14:01:40 INFO     Starting simulation...
2026-04-24 14:01:49 WARNING  301 points with problematic saturation / inverse linearity values!
2026-04-24 14:01:52 INFO     Simulating filter F158...
2026-04-24 14:01:53 INFO     Creating PSF using stpsf
2026-04-24 14:01:54 INFO     Using pupil mask 'F062' and detector 'WFI01'.
2026-04-24 14:01:54 INFO     Using pupil mask 'F062' and detector 'WFI11'.
2026-04-24 14:01:54 INFO     Using pupil mask 'F158' and detector 'WFI11'.
2026-04-24 14:01:54 INFO     No source spectrum supplied, therefore defaulting to 5700 K blackbody
2026-04-24 14:01:54 INFO     Computing wavelength weights using synthetic photometry for F158...
2026-04-24 14:01:55 INFO     Using pupil mask 'F158' and detector 'WFI11'.
2026-04-24 14:01:55 INFO     PSF calc using fov_arcsec = 5.000000, oversample = 4, number of wavelengths = 10
2026-04-24 14:01:55 INFO     Creating optical system model:
2026-04-24 14:01:55 INFO     Initialized OpticalSystem: Roman+WFI
2026-04-24 14:01:55 INFO     Roman Entrance Pupil: Loaded amplitude transmission from /home/np274/roman_l2_job/stpsf-data/WFI/pupils/RST_WIM_Filter_F158_WFI11.fits.gz
2026-04-24 14:01:55 INFO     Roman Entrance Pupil: Loaded OPD from /home/np274/roman_l2_job/stpsf-data/upscaled_HST_OPD.fits
2026-04-24 14:01:55 INFO     Added pupil plane: Roman Entrance Pupil
2026-04-24 14:01:55 INFO     Added coordinate inversion plane: OTE exit pupil
2026-04-24 14:01:55 INFO     Added pupil plane: Field Dependent Aberration (WFI11)
2026-04-24 14:01:55 INFO     Added detector with pixelscale=0.1078577405 and oversampling=4: WFI detector
2026-04-24 14:01:55 INFO     Calculating PSF with 10 wavelengths
2026-04-24 14:01:55 INFO      Propagating wavelength = 1.40235e-06 m
2026-04-24 14:02:08 INFO      Propagating wavelength = 1.44305e-06 m
2026-04-24 14:02:09 INFO      Propagating wavelength = 1.48375e-06 m
2026-04-24 14:02:11 INFO      Propagating wavelength = 1.52445e-06 m
2026-04-24 14:02:12 INFO      Propagating wavelength = 1.56515e-06 m
2026-04-24 14:02:13 INFO      Propagating wavelength = 1.60585e-06 m
2026-04-24 14:02:15 INFO      Propagating wavelength = 1.64655e-06 m
2026-04-24 14:02:16 INFO      Propagating wavelength = 1.68725e-06 m
2026-04-24 14:02:18 INFO      Propagating wavelength = 1.72795e-06 m
2026-04-24 14:02:19 INFO      Propagating wavelength = 1.76865e-06 m
2026-04-24 14:02:21 INFO       Calculation completed in 25.866 s
2026-04-24 14:02:21 INFO     PSF Calculation completed.
2026-04-24 14:02:21 INFO     Calculating jitter using gaussian
2026-04-24 14:02:21 INFO     Jitter: Convolving with Gaussian with sigma=0.012 arcsec
2026-04-24 14:02:21 INFO             resulting image peak drops to 0.973 of its previous value
2026-04-24 14:02:21 INFO     Detector charge diffusion not applied because charge_diffusion_sigma option is 0
2026-04-24 14:02:21 INFO      Adding extension with image downsampled to detector pixel scale.
2026-04-24 14:02:21 INFO      Downsampling to detector pixel scale, by 4
2026-04-24 14:02:21 INFO      Downsampling to detector pixel scale, by 4
2026-04-24 14:02:21 INFO     Creating PSF using stpsf
2026-04-24 14:02:21 INFO     Using pupil mask 'F062' and detector 'WFI01'.
2026-04-24 14:02:21 INFO     Using pupil mask 'F062' and detector 'WFI11'.
2026-04-24 14:02:21 INFO     Using pupil mask 'F158' and detector 'WFI11'.
2026-04-24 14:02:21 INFO     No source spectrum supplied, therefore defaulting to 5700 K blackbody
2026-04-24 14:02:21 INFO     Computing wavelength weights using synthetic photometry for F158...
2026-04-24 14:02:21 INFO     Using pupil mask 'F158' and detector 'WFI11'.
2026-04-24 14:02:21 INFO     PSF calc using fov_arcsec = 5.000000, oversample = 4, number of wavelengths = 10
2026-04-24 14:02:21 INFO     Creating optical system model:
2026-04-24 14:02:21 INFO     Initialized OpticalSystem: Roman+WFI
